,,Usable,T,F,Parity Val,Parity Expr,Correct,Misc
rfuller1,an else or where even numbers are true and odds are false,NORM,SPB-TP,SPB-FP,SPB-ELEM,SPB-EO,COR,
jnieto,You must have an odd number of odd numbers,NORM,,,SPB-ODD,,COR,
ojohnso3,"True if sum of set is odd, false otherwise",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,SET
dkhullar,"If sum of numbers is odd, the function returns turn Otherwise it returns false",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
mlunghi,"If the sum of the numbers in the list is even, it outputs false, if it is odd, it outputs true.",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
hpham2,"Returns true if sum of all elements is odd, false otherwise",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
pdam,"true if the sum of inputs is not even, false otherwise",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
nkeirste,"Returns true if the sum of the integers is odd, false if the sum is even.",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
chorvitz,"if sum of numbers is odd, true. if even, false.",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
xzhan180,True if the list sums to an odd number and false if it sums to an even number,NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
sgupta46,"It returns true if the numbers add up to an odd number, and false if the numbers add up to an even number.",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
gwarre,"The sum of the elements must be odd to return true, false otherwise",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
spate116,If the sum is odd the answer is true. Otherwise it is false.,NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
mabouela,"if list of numbers sum to odd then true, else false",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
lgamalel,Evaluates to true if the sum of the numbers is odd and false if it's even.,NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
qwei3,sum is odd: true/otherwise: false,NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
cander23,returns false if sum is 0 or even true otherwise,NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-EO,COR,
kfeinbe1,sums of set is odd,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
sboughan,Checks if the sum of the numbers are odd,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
nahmed12,"I think this function sums up all the values in the list, and if it is odd, then it will return true, and it if is even, it will return false.",NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
elevin3,sum of all integers in list is odd,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
dli72,Returns whether the sum of all numbers in the list is odd.,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
srockhil,"adds up elements, true if odd false if even",NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
emadsen,even sum - False odd sum - True,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-EO,COR,
jadkl,"If the sum of integers is odd, the output is true",NORM,SPB-TC,,SPB-SUM,SPB-EO,COR,
ncousin2,sum of elements is odd then evaluates true,NORM,SPB-TC,,SPB-SUM,SPB-EO,COR,
ksang1,"If the sum of list is odd, return true",NORM,SPB-TC,,SPB-SUM,SPB-EO,COR,
jgong15,False if sum is even,NORM,,SPB-FC,SPB-SUM,SPB-EO,COR,
dtoth1,returns sum(input list) % 2 == 1. Return if parity of sum of list is odd,NORM,,,SPB-SUM,SPB-MOD,COR,NIN
wbuerger,"returns true if there are an odd number of odd numbers in the list, false otherwise",NORM,SPB-TC,SPB-FC,SPB-SUM,SPB-ODD,COR,
scho31,If the sum of the value is NOT evenly divisible by two,NORM,SPB-TC,SPB-TC,SPB-SUM,SPB-REM,COR,
tnguye99,"if there exists an odd number the list, then it outputs true. otherwise false.",NORM,SPB-TP,SPB-FP,SPB-ELEM,SPB-EO,MCOR,
mgans,True if exactly one integer in the list is odd,NORM,SPB-TP,,SPB-ELEM,SPB-EO,MCOR,
mmo4,There is an odd number of odd numbers and even number of even numbers.,NORM,SPB-TP,,SPB-SUM,SPB-EO,MCOR,
sddd,"if 0,3,5 numbers then false",NORM,,SPB-FN,,,SCOR,IO
a,"if the length is 0,  2 or 4 its false",NORM,,SPB-FN,,,SCOR,IO
mghani1,return true if sum of first n/2 numbers is greater than sum of last n/2 numbers in list,NORM,SPB-TN,,,,XCOR,
ksachan,True for lists of length 2 or 3,NORM,SPB-TN,,,,XCOR,